date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:37	373/373	---M-Z	200	added ('OK')	text/plain	date:Sun,%2002%20Jun%202024%2023:44:21%20GMT	https://www.fortworthbarbershop.com/robots.txt		(from )
13:41:38	129051/129051	---M-Z	200	added ('OK')	text/html	etag:W/%2234f50399ca41d2619352d3b91fab1c1f%22	https://www.fortworthbarbershop.com/	C:/ranil%20and%20sam%20website/bang%20bang/test/www.fortworthbarbershop.com/index.html	(from )
13:41:38	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Tue,%2004%20Jun%202024%2005:41:39%20GMT	http://static1.squarespace.com/static/5f0087fc0414060b9b15c82d/t/5f5f97d0dced6063545532f4/1600100311614/social_share.jpg?format=1500w	C:/ranil%20and%20sam%20website/bang%20bang/test/static1.squarespace.com/static/5f0087fc0414060b9b15c82d/t/5f5f97d0dced6063545532f4/1600100311614/social_share.026f7.delayed	(from https://www.fortworthbarbershop.com/)
13:41:41	18080/18080	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2004%20Jun%202024%2005:41:41%20GMT	http://use.typekit.net/ik/JAVb5wJEka8rACDQr0FbXkpdHyF-ZbLbFnL3-DV-e9jfenMIfFHN4UJLFRbh52jhWDmcw2MtFhZRw2bUF2MhweJojRIujD6kZg7LMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0Sem0ZamTdKukiA4oOWbXpQS0SaBujW48Sagyjh90jhNlOfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUcda4XihNkieyKjW4KZW4D-eN3OcFzdPUCdhFydeyzSabCSem0ZamTdKukiA4oOWbXpQS0SaBujW48Sagyjh90jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaOcZzS1sada4X-e4ySc48S1FGdaM0jhNlOYiaiko3ZAo1iA80OW4uj1qli2soFkoDSWmyScmDSeBRZPoRdhXCiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXKIA4kjAoqdhtlZa4ziemDSWm8J681ScB0ic8Cde97fbKh9gMMeMb6MKG4fOybIMMjgkMfH6qJluMbMg65JMJ7fbKo9gMMegI6MKGHf407MyMgeMS6MKGHf477MyMgegI6MTMgGwhMr39.js	C:/ranil%20and%20sam%20website/bang%20bang/test/use.typekit.net/ik/JAVb5wJEka8rACDQr0FbXkpdHyF-ZbLbFnL3-DV-e9jfenMIfFHN4UJLFRbh52jhWDmcw2MtFhZRw2bUF2MhweJojRIujD6kZg7LMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0S	(from https://www.fortworthbarbershop.com/)
13:41:41	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.fortworthbarbershop.com/)
13:41:44	44935/44935	---M-Z	200	added ('OK')	text/javascript	etag:%2231b45397fa88644e5b8d221ccb40a959%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-87dc1e05215056ccccb0-min.en-US.js	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-87dc1e05215056ccccb0-min.en-US.js	(from https://www.fortworthbarbershop.com/)
13:41:46	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.fortworthbarbershop.com/)
13:41:47	90266/90266	---M-Z	200	added ('OK')	text/javascript	etag:%2239aababd86f4bd0ebdd34b5af5914307%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	(from https://www.fortworthbarbershop.com/)
13:41:59	246078/246078	---M-Z	200	added ('OK')	text/javascript	etag:%226b21148444160fe6785985c22d99a21f%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-3598b219a3c023c1915a-min.en-US.js	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-3598b219a3c023c1915a-min.en-US.js	(from https://www.fortworthbarbershop.com/)
13:42:01	1196455/1196455	---M-Z	200	added ('OK')	text/javascript	etag:%22fbe43b1f7f944c9fde759ab090f61c42%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	(from https://www.fortworthbarbershop.com/)
